Models,Linear DTSM,,GAM,,Cox PH,,Weibull,,DeepHit,,3LSTM,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2015 Q3,0.001464494,0.136495671,0.001449313,0.14544645,0.00166112,0.020559561,0.001991486,-0.17423268,0.001446687,0.14699522,0.00088442,0.478522763
2015 Q4,0.002424814,0.024771108,0.002415242,0.028620877,0.002355649,0.052588283,0.002735844,-0.100320975,0.002303926,0.073390877,0.001227974,0.50612479
,,,,,,,,,,,,
,,,,,,,,,,,,
vintage,LLR_baseline,,,,,,,,,,,
2004 Q1,0.004306851,,,,,,,,,,,
2004 Q2,0.004343117,,,,,,,,,,,
2004 Q3,0.00405565,,,,,,,,,,,
2004 Q4,0.004315105,,,,,,,,,,,
2005 Q1,0.004628693,,,,,,,,,,,
2005 Q2,0.004589772,,,,,,,,,,,
2005 Q3,0.00489286,,,,,,,,,,,
2005 Q4,0.005697415,,,,,,,,,,,
2006 Q1,0.006512319,,,,,,,,,,,
2006 Q2,0.006419427,,,,,,,,,,,
2006 Q3,0.006755912,,,,,,,,,,,
2006 Q4,0.007482584,,,,,,,,,,,
2007 Q1,0.007042766,,,,,,,,,,,
2007 Q2,0.008011996,,,,,,,,,,,
2007 Q3,0.008512617,,,,,,,,,,,
2007 Q4,0.009193724,,,,,,,,,,,
2008 Q1,0.006590877,,,,,,,,,,,
2008 Q2,0.007015629,,,,,,,,,,,
2008 Q3,0.007052195,,,,,,,,,,,
2008 Q4,0.0061642,,,,,,,,,,,
2009 Q1,0.001600432,,,,,,,,,,,
2009 Q2,0.001696123,,,,,,,,,,,
2009 Q3,0.00212343,,,,,,,,,,,
2009 Q4,0.001970795,,,,,,,,,,,
2010 Q1,0.00212529,,,,,,,,,,,
2010 Q2,0.002257602,,,,,,,,,,,
2010 Q3,0.001403334,,,,,,,,,,,
2010 Q4,0.000853019,,,,,,,,,,,
2011 Q1,0.001387195,,,,,,,,,,,
2011 Q2,0.001511426,,,,,,,,,,,
2011 Q3,0.001351397,,,,,,,,,,,
2011 Q4,0.000726925,,,,,,,,,,,
2012 Q1,0.000816331,,,,,,,,,,,
2012 Q2,0.001459356,,,,,,,,,,,
2012 Q3,0.000748503,,,,,,,,,,,
2012 Q4,0.000766131,,,,,,,,,,,
2013 Q1,0.001020477,,,,,,,,,,,
2013 Q2,0.000919085,,,,,,,,,,,
2013 Q3,0.0008688,,,,,,,,,,,
2013 Q4,0.001464246,,,,,,,,,,,
2014 Q1,0.001549655,,,,,,,,,,,
2014 Q2,0.00229483,,,,,,,,,,,
2014 Q3,0.00173851,,,,,,,,,,,
2014 Q4,0.001593484,,,,,,,,,,,
2015 Q1,0.002314533,,,,,,,,,,,
2015 Q2,0.001824564,,,,,,,,,,,
2015 Q3,0.001695989,,,,,,,,,,,
2015 Q4,0.002486405,,,,,,,,,,,
